Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
0,160,2015,7,-0.7664353047002389,-0.9347854975482642,2,0.8322147400688894,0.5943072615719546,30,36,0.0,5.0,1.6495375951083695,3
23,136,2025,7,0.1743160603483069,-0.9485423513226936,14,0.32475853658055515,1.0539973564295781,53,21,2.0,4.0,-1.1884373810619702,3
33,33,2020,1,-0.5272156718736085,-0.7903385329167562,6,0.802364375157811,0.10780931162973571,1,36,5.0,5.0,-0.6770577538604879,5
1,170,2025,5,0.972610790118073,-1.4437890872021497,12,1.2799702137350666,-0.43282182672561337,47,0,2.0,5.0,-1.3634605675999223,5
0,160,2023,7,-0.8739497464200727,-0.09561741730807462,10,-0.7797049651293486,1.4556069399837328,23,38,2.0,3.0,-1.5866584530067365,4
51,54,2016,5,1.4618014999433167,0.2758176346015175,7,-0.9886575195068981,-0.020322688446345622,42,1,2.0,5.0,-0.27693048879501114,5
21,135,2024,9,-0.4627070068417085,-1.2374362805857098,15,-1.4065626282619967,-1.5861425881421995,34,32,5.0,5.0,0.3980351662201609,5
6,130,2019,3,1.2790269490195996,-1.6845340282546633,1,0.6232621856913403,0.1103799634528146,4,20,5.0,5.0,-0.27329139283729137,5
8,179,2023,0,-1.3577647341593249,0.48217044121795755,11,1.190419119001831,0.00887890035561932,31,32,1.0,5.0,-1.7656673160698104,5
41,114,2015,13,1.5182465818462298,1.3694875096686498,11,-0.8692560598625841,-0.9151057778726404,29,36,1.0,5.0,1.2559953608235286,3
49,76,2022,3,-1.1507994338486447,0.1382490968572241,13,1.6083242277569298,1.4678059195793192,46,8,3.0,4.0,1.170043380107861,4
20,69,2018,13,-0.5460306991745796,0.3514803303608789,12,0.32475853658055515,-1.72441779674215,12,30,0.0,4.0,-0.41746890887647575,4
32,106,2018,3,-1.266377458697466,1.5689618893978752,15,-0.8692560598625841,-0.11126378976576771,48,8,0.0,4.0,0.8830746702990997,5
2,178,2025,2,-1.3846433445892834,-0.30197022392451467,7,1.0411672944464385,-1.3708880894491946,31,8,1.0,3.0,-1.3407595404350987,4
10,49,2015,2,1.7628419367588517,1.2250405450371418,5,1.6083242277569298,1.4589865664402561,41,3,3.0,3.0,-0.8340587508935421,4
46,111,2019,0,1.010240844720015,-0.1231311248569333,11,-0.24239839672993588,1.5661787357796526,6,38,3.0,3.0,1.5199164629000643,5
29,63,2020,4,-1.5539785902980214,-0.04059000221035727,8,-1.4961137229952322,0.009452368995167559,41,23,3.0,4.0,-1.0881023067991242,5
38,126,2024,13,-0.2638052896600158,0.33084504969923484,7,1.4889227681126158,-1.0419064186964637,12,12,3.0,4.0,0.026500797965339617,3
46,111,2024,14,1.752090492586868,-1.4644243678637938,4,0.026254887469770304,-1.2905819885820713,49,6,2.0,5.0,-0.05113324913268274,5
10,49,2025,1,0.20925825390725283,1.5620834625106605,1,1.5187731330236947,-1.2842285217320373,34,10,1.0,5.0,0.17812979620366454,3
44,40,2019,3,-0.02189779579038972,1.4657854860896553,6,-1.3767122633509181,-0.2823421549346303,4,18,1.0,4.0,-0.8513877792636364,5
15,42,2021,3,-1.6937473645338055,-1.4575459409765792,2,0.17550671202516271,1.1411504477368852,27,38,1.0,3.0,0.26286874493342555,3
44,43,2025,13,-0.4922734783146626,0.24830392705265883,13,1.6381745926680082,0.8463613034729386,17,21,1.0,3.0,0.11747819690833457,4
10,49,2019,11,1.0236801499349943,-1.3406126838939296,10,1.2799702137350666,1.2242641494724165,14,8,3.0,3.0,-0.5030743090247415,3
32,107,2021,12,-0.7556838605282554,-1.478181221638223,0,-0.5110516809296424,0.01491460728006548,45,27,0.0,3.0,1.5278878159503078,4
7,9,2024,9,-0.5218399497876168,1.0462014459695603,7,-0.2125480318188575,1.6594050533486688,34,13,1.0,3.0,1.1833867319528335,5
44,40,2025,5,-0.4573312847557167,-1.478181221638223,7,0.4441599962248692,0.5482034999433611,34,24,5.0,4.0,1.3792047525348987,3
26,93,2025,9,0.6393160207865881,1.4589070592024407,8,0.4143096313137905,-0.7070353664346116,28,37,1.0,5.0,0.060985564421827225,4
15,59,2025,5,0.05873803549948564,1.073715153518419,8,0.5635614558691829,-0.7664778296807222,24,9,1.0,3.0,-0.9321410514682757,3
7,8,2022,14,1.2413968944176577,-1.4644243678637938,14,-0.2722487616410145,0.4317593506452317,31,13,1.0,3.0,0.6453204010614062,3
39,12,2015,3,-0.8578225801620977,1.2663111063604298,1,-0.1528473019967005,1.026242859604813,24,29,4.0,4.0,1.0974347512371658,4
23,86,2017,7,1.2817148100625952,-0.13688797863136265,0,0.8620651049799678,1.1593949470066642,4,29,1.0,4.0,-0.14644290516820127,3
47,88,2020,0,0.158188894090332,-1.2374362805857098,2,-0.8991064247736625,0.6540507453470278,12,33,1.0,4.0,-1.415274362426504,3
24,95,2024,7,-1.6614930320178554,1.3763659365558645,10,-0.06329620726346509,1.5156973333233443,25,13,3.0,5.0,-0.516590951153415,4
50,37,2021,10,-1.6265508384589094,-0.5358367380898135,10,0.7725140102467326,1.1616209981474976,20,9,3.0,3.0,0.6649022031196128,3
6,140,2015,6,-0.4035740638957998,-0.9760560588715522,14,-0.5707524107517994,0.8870625691459678,1,25,3.0,3.0,-1.6587472110263288,5
29,63,2020,5,0.5425530232387378,1.0255661653079164,6,0.8919154698910462,1.5394906539640123,31,11,1.0,5.0,-0.5311473349842942,4
43,5,2020,11,0.3893449437879745,1.6721382927060953,1,0.9516161997132034,-1.182147929179274,25,10,2.0,4.0,0.4834672760847257,5
26,91,2024,7,1.1742003683427615,-0.8660012286761175,1,0.682962915513497,-0.7048436599178877,45,15,4.0,4.0,0.3353040835204196,3
27,99,2015,1,-0.2611174286170201,0.0006805591129307435,1,-0.2125480318188575,-0.4949477884168779,50,1,3.0,5.0,-0.23516753042308394,5
10,49,2022,9,1.1553853410417905,0.3652371841353082,0,-0.6006027756628778,-0.8990928133391414,21,25,1.0,5.0,0.3831322018218798,4
34,3,2020,11,-0.02458565683338541,-0.4739308961048814,0,-0.5409020458407208,1.2995109120147872,23,25,4.0,5.0,0.5389201668690273,4
23,136,2022,2,0.7575819066784054,-0.1437664055185773,5,-1.3767122633509181,-0.9818619143924275,23,3,4.0,4.0,0.6472265941821166,5
23,86,2020,7,-0.14285154272520276,-0.6458915682852482,0,-0.8991064247736625,0.7487189599080843,38,5,5.0,4.0,-0.19877657084588599,5
21,155,2016,1,-1.0513485752577985,-0.9210286437738349,9,-1.0782086142401335,-1.7003217239107993,30,17,0.0,3.0,1.018587672153237,3
