Manufacturer,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Warranty_Years
0,7,55.8,214,2,9.0,0.5943072615719546,30,36,3
23,7,90.8,212,14,7.3,1.0539973564295781,53,21,3
33,1,64.7,235,6,8.9,0.10780931162973571,1,36,5
1,5,120.5,140,12,10.5,-0.43282182672561337,47,0,5
0,7,51.8,336,10,3.6,1.4556069399837328,23,38,4
51,5,138.7,390,7,2.9,-0.020322688446345622,42,1,5
21,9,67.1,170,15,1.5,-1.5861425881421995,34,32,5
6,3,131.9,105,1,8.3,0.1103799634528146,4,20,5
8,0,33.8,420,11,10.2,0.00887890035561932,31,32,5
41,13,140.8,549,11,3.3,-0.9151057778726404,29,36,3
49,3,41.5,370,13,11.6,1.4678059195793192,46,8,4
20,13,64.0,401,12,7.3,-1.72441779674215,12,30,4
32,3,37.2,578,15,3.3,-0.11126378976576771,48,8,5
2,2,32.8,306,7,9.7,-1.3708880894491946,31,8,4
10,2,149.9,528,5,11.6,1.4589865664402561,41,3,4
46,0,121.9,332,11,5.4,1.5661787357796526,6,38,5
29,4,26.5,344,8,1.2,0.009452368995167559,41,23,5
38,13,74.5,398,7,11.2,-1.0419064186964637,12,12,3
46,14,149.5,137,4,6.3,-1.2905819885820713,49,6,5
10,1,92.1,577,1,11.3,-1.2842285217320373,34,10,3
44,3,83.5,563,6,1.6,-0.2823421549346303,4,18,5
15,3,21.3,138,2,6.8,1.1411504477368852,27,38,3
44,13,66.0,386,13,11.7,0.8463613034729386,17,21,4
10,11,122.4,155,10,10.5,1.2242641494724165,14,8,3
32,12,56.2,135,0,4.5,0.01491460728006548,45,27,4
7,9,64.9,502,7,5.5,1.6594050533486688,34,13,5
44,5,67.3,135,7,7.7,0.5482034999433611,34,24,3
26,9,108.1,562,8,7.6,-0.7070353664346116,28,37,4
15,5,86.5,506,8,8.1,-0.7664778296807222,24,9,3
7,14,130.5,137,14,5.3,0.4317593506452317,31,13,3
39,3,52.4,534,1,5.7,1.026242859604813,24,29,4
23,7,132.0,330,0,9.1,1.1593949470066642,4,29,3
47,0,90.2,170,2,3.2,0.6540507453470278,12,33,3
24,7,22.5,550,10,6.0,1.5156973333233443,25,13,4
50,10,23.8,272,10,8.8,1.1616209981474976,20,9,3
6,6,69.3,208,14,4.3,0.8870625691459678,1,25,5
29,5,104.5,499,6,9.2,1.5394906539640123,31,11,4
43,11,98.8,593,1,9.4,-1.182147929179274,25,10,5
26,7,128.0,224,1,8.5,-0.7048436599178877,45,15,3
27,1,74.6,350,1,5.5,-0.4949477884168779,50,1,5
10,9,127.3,403,0,4.2,-0.8990928133391414,21,25,4
34,11,83.4,281,0,4.4,1.2995109120147872,23,25,4
23,2,112.5,329,5,1.6,-0.9818619143924275,23,3,5
23,7,79.0,256,0,3.2,0.7487189599080843,38,5,5
21,1,45.2,216,9,2.6,-1.7003217239107993,30,17,3
46,10,82.2,274,8,11.6,-0.8749075599292198,0,5,3
13,5,35.4,491,13,7.5,0.9892692843939913,14,29,5
14,7,32.9,490,4,7.7,-0.8327667061464437,21,21,5
4,4,50.1,461,11,8.6,-0.17686461930814593,45,2,3
29,11,138.1,523,2,1.3,-1.1746778291302402,25,15,5
51,3,84.2,141,6,10.7,0.7946065524319866,22,31,3
8,14,25.2,487,8,5.9,0.507066144127223,4,23,4
24,2,33.6,182,7,5.2,-0.03335257705716111,24,34,4
20,1,148.5,436,14,5.3,-1.0996631092583258,51,9,5
49,0,110.8,162,5,11.7,0.3593975365280876,17,21,4
20,0,113.2,360,0,5.3,-0.07826986179738844,0,3,3
47,0,122.4,236,5,3.8,-0.7153265627491288,27,16,4
23,0,61.8,196,12,7.1,-0.9404197861136003,33,14,5
48,4,36.4,594,7,10.5,1.278281893770892,7,10,3
17,14,110.1,432,3,10.3,1.202611739938024,41,27,3
14,2,109.0,247,12,9.1,-0.24633831028691006,54,10,3
30,9,38.9,371,13,7.0,0.9954293823519785,35,23,5
13,2,53.0,230,5,10.8,-0.13799949227870326,11,27,5
18,5,149.9,536,15,1.7,-0.4285339436970424,49,28,4
46,8,116.8,125,15,10.1,1.377833682992139,33,2,5
22,8,77.3,396,9,8.9,-1.4371608037388643,11,12,5
47,0,127.2,346,11,9.1,-0.5762415136848739,34,1,5
3,4,54.4,163,14,4.7,0.8447473947500628,18,16,3
14,5,104.2,425,14,11.0,-0.7027396909283014,48,5,3
38,10,68.2,586,13,7.3,0.7671259467692398,48,10,3
15,1,67.1,451,9,6.8,1.6372628721578535,49,30,5
42,14,146.2,125,7,3.3,-1.3132067261721447,29,33,4
35,4,56.0,174,2,6.7,1.016189697490375,34,11,3
39,11,116.4,369,1,9.1,-0.09992804353751326,33,0,5
48,10,103.6,115,6,12.0,1.1851470656627392,5,10,3
1,14,102.3,380,7,4.9,0.3196391606615025,11,1,5
42,0,49.7,273,14,5.1,0.7775620947340458,38,39,3
19,13,116.8,290,2,6.9,0.2817962912673292,28,38,4
4,13,95.1,208,2,8.1,-0.9726895908728066,54,4,5
35,2,103.6,113,0,0.8,-0.8028981389720601,46,24,3
13,7,89.0,292,13,5.7,-1.204162833233683,25,12,5
2,6,77.6,317,15,7.5,-0.3148696886798035,15,35,4
25,4,48.7,406,6,0.6,-0.7054093360796966,15,17,3
49,7,49.9,386,9,1.3,1.2352466367098267,44,39,5
51,13,72.7,594,7,2.5,1.5325729540036022,47,0,5
19,7,64.1,270,8,1.4,0.44373985225383383,26,35,3
22,5,42.6,178,3,2.5,0.9273009039192309,8,1,5
41,13,81.0,423,11,9.7,0.29895590446963816,49,35,4
1,14,85.9,336,6,5.7,1.0553324676155627,42,8,4
9,2,42.4,226,14,11.9,0.06569703026533663,43,21,3
48,12,32.3,447,10,3.8,0.7572017934529286,24,15,5
43,14,112.1,143,11,6.9,0.4793032776041452,36,17,5
3,6,43.4,209,7,11.4,-0.06520851466532959,14,17,3
32,11,97.6,178,8,2.6,0.6502266590490833,43,21,5
30,3,51.1,594,15,10.9,-1.0773812406887775,45,28,4
31,11,133.5,126,15,10.6,0.17123199933886196,54,29,3
52,1,78.6,278,5,5.3,-0.37627354743390173,51,3,5
16,11,25.0,569,15,8.5,-1.2686380826581753,12,22,3
23,8,57.5,254,1,1.0,-0.29533019505388297,6,9,5
27,6,75.8,414,9,3.3,-0.3066137028202562,24,36,5
34,4,102.6,291,0,9.1,-0.512590246628731,40,4,3
7,12,125.8,189,14,11.8,-0.09201377225734442,32,17,3
48,12,141.3,363,10,11.9,0.1313688579382274,18,18,4
20,0,72.0,325,10,4.4,-1.1023134175205165,23,26,3
52,6,61.8,140,7,8.1,-0.687827774638324,22,39,5
52,8,143.2,138,10,4.7,1.0251325758321193,45,21,3
1,12,67.1,586,6,7.5,0.6024896518084093,51,0,5
